customer_id,clicks,visits
1,36,23
2,84,2
3,38,31
4,86,47
5,22,48
6,50,41
7,92,19
8,94,26
9,22,23
10,89,38
11,53,26
12,45,5
13,21,13
14,37,6
15,71,38
16,63,3
17,41,27
18,51,11
19,18,26
20,74,18
21,73,13
22,15,7
23,23,36
24,97,18
25,23,6
26,93,45
27,29,7
28,88,44
29,9,3
30,17,37
31,45,22
32,66,8
33,3,49
34,79,45
35,56,20
36,88,42
37,47,21
38,44,7
39,39,21
40,2,31
41,66,28
42,83,15
43,62,17
44,55,23
45,47,28
46,70,40
47,91,15
48,14,27
49,64,8
50,26,20
51,88,10
52,83,7
53,80,27
54,45,27
55,42,22
56,5,16
57,31,26
58,42,38
59,21,28
60,89,1
61,66,48
62,62,45
63,79,15
64,59,27
65,14,7
66,82,31
67,17,43
68,79,31
69,84,26
70,64,33
71,98,20
72,80,33
73,37,10
74,82,42
75,83,46
76,51,3
77,60,23
78,82,29
79,1,3
80,79,46
81,48,35
82,34,18
83,90,39
84,10,25
85,84,14
86,19,16
87,97,14
88,49,44
89,82,33
90,77,34
91,91,42
92,82,37
93,86,3
94,91,29
95,81,41
96,48,16
97,42,19
98,7,32
99,13,16
100,70,43
101,19,7
102,52,36
103,28,44
104,90,20
105,40,15
106,58,11
107,47,18
108,66,40
109,95,16
110,9,44
111,47,1
112,95,23
113,90,32
114,58,23
115,20,10
116,25,39
117,86,33
118,4,4
119,12,6
120,17,8
121,48,23
122,46,29
123,74,2
124,33,31
125,63,5
126,73,46
127,54,4
128,39,7
129,55,17
130,70,17
131,77,17
132,84,21
133,11,4
134,26,8
135,43,29
136,13,35
137,48,8
138,94,48
139,17,38
140,32,31
141,63,40
142,25,48
143,14,9
144,80,18
145,9,5
146,20,23
147,92,8
148,58,22
149,28,17
150,54,16
151,76,21
152,12,14
153,11,16
154,35,28
155,89,2
156,26,22
157,50,45
158,2,9
159,79,8
160,22,43
161,56,22
162,34,30
163,99,5
164,8,20
165,46,49
166,79,10
167,18,40
168,28,16
169,23,27
170,1,34
171,27,11
172,61,49
173,76,8
174,83,43
175,89,28
176,56,13
177,92,9
178,17,8
179,42,6
180,80,26
181,50,26
182,44,13
183,81,31
184,94,37
185,22,44
186,54,11
187,27,43
188,52,6
189,20,15
190,23,32
191,33,36
192,9,7
193,9,2
194,91,35
195,57,46
196,3,24
197,56,21
198,56,17
199,17,29
200,90,10
201,91,35
202,80,3
203,88,19
204,2,12
205,32,13
206,79,19
207,43,36
208,34,34
209,68,41
210,63,27
211,86,28
212,53,36
213,26,47
214,3,19
215,2,17
216,69,33
217,28,46
218,28,36
219,96,10
220,52,7
221,25,36
222,75,36
223,94,16
224,21,46
225,85,25
226,6,6
227,38,9
228,5,28
229,82,45
230,53,2
231,35,16
232,34,25
233,48,19
234,92,4
235,40,4
236,74,20
237,53,35
238,4,9
239,86,36
240,46,36
241,47,12
242,6,32
243,46,22
244,50,36
245,10,48
246,75,31
247,51,30
248,4,3
249,78,30
250,5,16
251,72,25
252,64,10
253,73,41
254,17,46
255,18,12
256,74,13
257,99,9
258,99,9
259,11,21
260,53,10
261,2,14
262,3,17
263,51,12
264,90,3
265,56,13
266,61,30
267,34,16
268,58,17
269,26,25
270,41,45
271,49,25
272,10,35
273,46,26
274,80,47
275,12,17
276,53,12
277,92,28
278,55,37
279,22,5
280,17,11
281,71,45
282,20,28
283,67,35
284,99,44
285,99,49
286,40,35
287,93,9
288,12,37
289,3,8
290,31,46
291,40,19
292,59,42
293,65,7
294,52,18
295,69,14
296,5,37
297,39,20
298,32,7
299,64,6
300,59,43
301,26,48
302,76,46
303,1,1
304,65,31
305,77,41
306,65,40
307,72,2
308,22,35
309,16,21
310,69,35
311,95,19
312,65,37
313,66,22
314,5,12
315,84,38
316,38,42
317,24,18
318,71,33
319,52,4
320,2,7
321,71,48
322,61,20
323,69,34
324,94,14
325,43,43
326,45,43
327,79,46
328,76,10
329,67,41
330,41,19
331,62,47
332,61,20
333,35,10
334,5,34
335,42,24
336,91,38
337,53,14
338,3,11
339,88,23
340,42,29
341,95,5
342,9,42
343,6,2
344,66,25
345,19,44
346,72,43
347,73,13
348,83,30
349,58,9
350,23,14
351,97,6
352,38,49
353,6,46
354,7,35
355,84,23
356,23,14
357,84,41
358,60,33
359,51,28
360,7,30
361,85,8
362,15,39
363,89,36
364,20,49
365,10,25
366,91,49
367,61,4
368,65,33
369,89,31
370,21,19
371,45,19
372,4,29
373,28,46
374,9,13
375,43,39
376,77,15
377,42,18
378,32,16
379,24,36
380,97,13
381,81,5
382,52,9
383,83,41
384,98,21
385,91,17
386,50,41
387,87,28
388,12,2
389,80,20
390,94,1
391,78,35
392,23,49
393,23,18
394,53,32
395,88,18
396,68,3
397,69,6
398,3,46
399,37,34
400,63,28
401,15,41
402,13,4
403,8,16
404,15,6
405,78,29
406,9,4
407,10,40
408,81,33
409,82,46
410,38,35
411,6,22
412,61,47
413,15,16
414,62,11
415,26,21
416,15,48
417,26,22
418,31,5
419,37,41
420,18,44
421,58,5
422,41,11
423,39,22
424,46,25
425,6,2
426,30,31
427,31,38
428,14,12
429,6,21
430,52,29
431,28,23
432,25,15
433,80,11
434,82,46
435,69,39
436,40,5
437,98,12
438,58,43
439,91,25
440,7,18
441,76,10
442,41,14
443,89,30
444,89,16
445,69,19
446,64,28
447,72,16
448,93,2
449,38,34
450,68,14
451,30,32
452,15,29
453,83,14
454,11,46
455,70,23
456,51,6
457,24,40
458,42,10
459,72,15
460,38,3
461,51,8
462,3,47
463,4,11
464,59,13
465,58,4
466,33,41
467,61,7
468,64,19
469,22,45
470,3,36
471,2,33
472,21,30
473,27,10
474,55,14
475,5,6
476,55,6
477,58,47
478,85,24
479,10,45
480,88,20
481,50,37
482,30,26
483,13,6
484,8,11
485,30,34
486,36,1
487,38,7
488,77,48
489,26,44
490,21,29
491,40,8
492,25,36
493,4,31
494,97,30
495,82,27
496,68,42
497,75,10
498,86,21
499,52,19
500,29,39
501,64,4
502,65,16
503,23,49
504,21,49
505,84,21
506,40,46
507,95,39
508,55,10
509,99,37
510,30,9
511,92,42
512,43,34
513,15,2
514,18,35
515,14,34
516,64,29
517,88,40
518,85,29
519,27,47
520,34,22
521,12,46
522,74,48
523,67,41
524,43,40
525,9,20
526,26,9
527,31,46
528,9,34
529,36,30
530,51,19
531,78,1
532,44,39
533,86,3
534,10,44
535,44,31
536,7,29
537,33,2
538,41,40
539,71,43
540,38,42
541,84,49
542,46,46
543,33,21
544,73,47
545,25,46
546,96,19
547,86,43
548,66,33
549,39,45
550,19,29
551,96,6
552,38,5
553,16,41
554,49,34
555,87,41
556,67,22
557,41,42
558,9,24
559,28,5
560,85,5
561,52,2
562,56,11
563,68,7
564,44,26
565,42,40
566,76,42
567,76,37
568,75,49
569,17,40
570,69,23
571,6,2
572,64,36
573,76,16
574,88,9
575,93,23
576,28,38
577,8,49
578,25,16
579,11,14
580,70,38
581,13,10
582,24,24
583,84,15
584,45,37
585,52,45
586,92,22
587,15,2
588,82,26
589,25,44
590,7,36
591,32,36
592,78,19
593,78,10
594,51,23
595,89,20
596,12,16
597,15,37
598,65,30
599,25,10
600,89,33
601,18,30
602,3,29
603,60,39
604,94,24
605,34,15
606,66,6
607,48,41
608,52,39
609,7,28
610,85,47
611,99,5
612,5,40
613,21,35
614,32,33
615,43,26
616,85,10
617,97,25
618,40,33
619,89,1
620,94,46
621,2,41
622,25,49
623,10,27
624,64,30
625,65,3
626,79,32
627,73,39
628,64,12
629,54,44
630,43,5
631,30,28
632,78,8
633,75,11
634,89,13
635,24,49
636,87,9
637,93,38
638,66,13
639,12,5
640,11,25
641,13,18
642,59,15
643,93,48
644,95,40
645,5,48
646,41,21
647,37,1
648,22,14
649,19,11
650,88,18
651,86,27
652,62,20
653,37,34
654,20,48
655,15,39
656,88,47
657,57,15
658,2,4
659,5,36
660,16,47
661,44,25
662,27,42
663,21,2
664,3,33
665,62,4
666,44,28
667,14,38
668,76,14
669,73,42
670,1,31
671,24,31
672,1,13
673,20,17
674,34,21
675,38,46
676,88,22
677,79,43
678,22,31
679,16,21
680,80,35
681,90,28
682,46,44
683,19,23
684,56,37
685,48,22
686,71,42
687,79,6
688,29,43
689,3,40
690,35,44
691,86,17
692,19,21
693,18,33
694,76,40
695,2,48
696,23,13
697,65,13
698,15,15
699,45,29
700,79,40
701,9,13
702,14,29
703,68,4
704,11,7
705,51,33
706,40,42
707,13,4
708,8,23
709,5,40
710,61,26
711,48,3
712,60,2
713,60,6
714,32,16
715,83,10
716,72,46
717,12,5
718,89,39
719,70,13
720,67,32
721,65,13
722,45,49
723,16,30
724,5,34
725,18,45
726,1,23
727,15,5
728,53,48
729,86,7
730,27,30
731,1,7
732,51,46
733,30,7
734,72,18
735,76,1
736,22,10
737,72,31
738,74,5
739,17,24
740,65,21
741,79,42
742,83,42
743,36,26
744,97,28
745,48,22
746,47,17
747,16,43
748,47,41
749,85,23
750,94,9
751,54,9
752,44,5
753,49,10
754,32,19
755,1,33
756,52,12
757,31,36
758,11,5
759,12,17
760,67,23
761,27,24
762,1,41
763,20,34
764,42,44
765,40,34
766,19,34
767,94,35
768,93,22
769,60,21
770,45,14
771,69,13
772,11,18
773,22,17
774,55,19
775,2,29
776,66,34
777,13,19
778,30,14
779,99,45
780,45,15
781,77,15
782,29,23
783,55,45
784,98,44
785,78,39
786,88,44
787,52,41
788,51,10
789,68,7
790,8,25
791,83,15
792,39,7
793,25,28
794,13,38
795,14,36
796,77,29
797,2,13
798,45,6
799,95,20
800,68,17
801,47,40
802,59,2
803,69,11
804,72,19
805,50,16
806,8,12
807,84,9
808,16,10
809,56,5
810,32,34
811,46,11
812,80,37
813,18,9
814,30,28
815,64,8
816,18,28
817,55,18
818,56,19
819,76,32
820,53,36
821,79,1
822,89,9
823,92,41
824,74,43
825,24,40
826,59,17
827,57,6
828,61,33
829,52,3
830,64,37
831,73,46
832,78,27
833,70,21
834,13,24
835,77,5
836,63,5
837,43,14
838,13,4
839,21,32
840,38,47
841,51,25
842,83,37
843,75,49
844,6,16
845,90,32
846,50,20
847,76,34
848,38,2
849,36,1
850,44,43
851,75,41
852,7,27
853,81,9
854,41,27
855,5,29
856,12,41
857,1,8
858,69,29
859,91,5
860,62,34
861,35,44
862,9,31
863,50,48
864,18,41
865,49,44
866,11,13
867,33,4
868,65,9
869,52,48
870,1,26
871,76,45
872,29,3
873,45,11
874,22,34
875,7,40
876,94,10
877,8,1
878,41,47
879,58,23
880,37,36
881,80,37
882,75,49
883,96,31
884,18,12
885,89,27
886,23,14
887,92,48
888,75,43
889,7,32
890,56,11
891,16,22
892,72,14
893,9,34
894,29,1
895,30,17
896,47,7
897,56,14
898,10,32
899,7,34
900,56,23
901,70,28
902,72,30
903,72,13
904,7,10
905,66,12
906,81,25
907,2,19
908,41,38
909,41,40
910,39,32
911,6,43
912,1,18
913,43,36
914,22,25
915,75,41
916,24,11
917,36,6
918,79,45
919,82,24
920,15,16
921,21,5
922,54,21
923,5,43
924,47,1
925,15,41
926,5,10
927,8,36
928,29,24
929,22,47
930,90,5
931,69,36
932,54,28
933,92,3
934,63,34
935,47,35
936,9,38
937,29,1
938,86,18
939,53,19
940,99,12
941,82,42
942,66,9
943,76,35
944,94,39
945,88,5
946,56,41
947,36,21
948,59,31
949,13,47
950,44,10
951,10,49
952,42,42
953,15,20
954,75,28
955,4,14
956,28,22
957,24,25
958,16,4
959,81,3
960,97,49
961,92,33
962,39,15
963,12,2
964,96,33
965,12,35
966,13,7
967,97,26
968,13,3
969,28,42
970,32,29
971,37,45
972,17,15
973,52,28
974,90,14
975,76,3
976,80,13
